Time,Send Rate
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,10
101,11
102,12
103,13
104,14
105,15
106,16
107,17
108,18
109,19
110,20
111,21
112,22
113,23
114,24
115,25
116,26
117,27
118,28
119,29
120,30
121,31
122,32
123,33
124,34
125,35
126,36
127,37
128,38
129,39
130,40
131,41
132,42
133,43
134,44
135,45
136,46
137,47
138,48
139,49
140,50
141,50
142,11
143,12
144,13
145,14
146,15
147,16
148,17
149,18
150,19
151,20
152,21
153,22
154,23
155,24
156,25
157,26
158,27
159,28
160,29
161,30
162,31
163,32
164,33
165,34
166,35
167,36
168,37
169,38
170,39
171,40
172,41
173,42
174,43
175,44
176,45
177,46
178,47
179,48
180,49
181,50
182,50
183,50
184,50
185,50
186,50
187,50
188,50
189,50
190,50
191,50
192,50
193,50
194,50
195,50
196,50
197,50
198,50
199,11
200,12
201,13
202,14
203,15
204,16
205,17
206,18
207,19
208,20
209,21
210,22
211,23
212,24
213,25
214,26
215,27
216,28
217,29
218,30
219,31
220,32
221,33
222,34
223,35
224,36
225,37
226,38
227,39
228,40
229,41
230,42
231,43
232,11
233,12
234,13
235,14
236,15
237,16
238,17
239,18
240,19
241,20
242,21
243,22
244,23
245,24
246,25
247,26
248,27
249,28
250,29
251,30
252,31
253,32
254,33
255,34
256,35
257,36
258,37
259,38
260,39
261,40
262,41
263,42
264,11
265,12
266,13
267,14
268,15
269,16
270,17
271,18
272,19
273,20
274,21
275,22
276,23
277,24
278,25
279,26
