Time,Send Rate
1,10
2,11
3,12
4,13
5,14
6,15
7,16
8,17
9,18
10,19
11,20
12,21
13,22
14,23
15,24
16,25
17,26
18,27
19,28
20,29
21,30
22,31
23,32
24,33
25,34
26,35
27,36
28,37
29,38
30,39
31,40
32,41
33,42
34,43
35,44
36,45
37,46
38,47
39,48
40,49
41,50
42,50
43,50
44,50
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,50
78,50
79,50
80,50
81,50
82,50
83,50
84,50
85,50
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
106,50
107,11
108,12
109,13
110,14
111,15
112,16
113,17
114,18
115,19
116,20
117,21
118,22
119,23
120,24
121,25
122,26
123,27
124,28
125,29
126,30
127,31
128,32
129,33
130,34
131,35
132,36
133,37
134,38
135,39
136,40
137,41
138,42
139,43
140,44
141,45
142,46
143,47
144,48
145,49
146,50
147,50
148,50
149,50
150,50
151,50
152,50
153,50
154,50
155,50
156,50
157,50
158,50
159,50
160,50
161,50
162,50
163,50
164,50
165,50
166,50
167,50
168,50
169,50
170,50
171,11
172,12
173,13
174,14
175,15
176,16
177,17
178,18
179,19
180,20
181,21
182,22
183,23
184,24
185,25
186,26
187,27
188,28
189,29
190,30
191,31
192,32
193,33
194,34
195,35
196,36
197,37
198,38
199,39
200,40
201,41
202,42
203,43
204,44
205,45
206,46
207,47
208,48
209,49
210,50
211,50
212,50
213,50
214,50
215,50
216,50
217,50
218,11
219,12
220,13
221,14
222,15
223,16
224,17
225,18
226,19
227,20
228,21
229,22
230,23
231,24
232,25
233,26
234,27
235,28
236,29
237,30
238,31
239,32
240,33
241,34
242,35
243,36
244,37
245,38
246,39
247,40
248,41
249,42
250,43
251,44
252,45
253,46
254,47
255,48
