Time,Queue Size,Packet Loss,Link Utilization,Global Sync Detected,Average Queue Depth,Times Problem Detected,Average Time Difference between Problem,Variance of Time Difference
1,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000
2,10,0,0.000000,0.000000,0.000000,0,0.000000,0.000000
3,11,0,10.000000,0.000000,0.000000,0,0.000000,0.000000
4,12,0,11.000000,0.000000,0.000000,0,0.000000,0.000000
5,13,0,12.000000,0.000000,0.000000,0,0.000000,0.000000
6,24,0,13.000000,0.000000,0.000000,0,0.000000,0.000000
7,26,0,24.000000,0.000000,0.000000,0,0.000000,0.000000
8,28,0,26.000000,0.000000,0.000000,0,0.000000,0.000000
9,30,0,28.000000,0.000000,0.000000,0,0.000000,0.000000
10,32,0,30.000002,0.000000,0.000000,0,0.000000,0.000000
11,34,0,32.000000,0.000000,0.000000,0,0.000000,0.000000
12,36,0,34.000000,0.000000,0.000000,0,0.000000,0.000000
13,38,0,36.000000,0.000000,0.000000,0,0.000000,0.000000
14,40,0,38.000000,0.000000,0.000000,0,0.000000,0.000000
15,42,0,40.000000,0.000000,0.000000,0,0.000000,0.000000
16,44,0,42.000000,0.000000,0.000000,0,0.000000,0.000000
17,46,0,44.000000,0.000000,0.000000,0,0.000000,0.000000
18,48,0,46.000000,0.000000,0.000000,0,0.000000,0.000000
19,50,0,48.000000,0.000000,0.000000,0,0.000000,0.000000
20,52,0,50.000000,0.000000,0.000000,0,0.000000,0.000000
21,54,0,52.000000,0.000000,0.000000,0,0.000000,0.000000
22,56,0,54.000004,0.000000,0.000000,0,0.000000,0.000000
23,58,0,56.000000,0.000000,0.000000,0,0.000000,0.000000
24,60,0,58.000000,0.000000,0.000000,0,0.000000,0.000000
25,62,0,60.000004,0.000000,0.000000,0,0.000000,0.000000
26,64,0,62.000000,0.000000,0.000000,0,0.000000,0.000000
27,66,0,64.000000,0.000000,0.000000,0,0.000000,0.000000
28,68,0,66.000000,0.000000,0.000000,0,0.000000,0.000000
29,70,0,68.000000,0.000000,0.000000,0,0.000000,0.000000
30,72,0,70.000000,0.000000,0.000000,0,0.000000,0.000000
31,74,0,72.000000,0.000000,0.000000,0,0.000000,0.000000
32,76,0,74.000000,0.000000,0.000000,0,0.000000,0.000000
33,78,0,76.000000,0.000000,0.000000,0,0.000000,0.000000
34,80,0,78.000000,0.000000,0.000000,0,0.000000,0.000000
35,82,0,80.000000,0.000000,0.000000,0,0.000000,0.000000
36,84,0,82.000000,0.000000,0.000000,0,0.000000,0.000000
37,86,0,84.000000,0.000000,0.000000,0,0.000000,0.000000
38,88,0,86.000000,0.000000,0.000000,0,0.000000,0.000000
39,90,0,88.000000,0.000000,0.000000,0,0.000000,0.000000
40,92,0,90.000000,0.000000,0.000000,0,0.000000,0.000000
41,94,0,92.000000,0.000000,0.000000,0,0.000000,0.000000
42,96,0,94.000000,0.000000,0.000000,0,0.000000,0.000000
43,97,0,96.000000,0.000000,0.000000,0,0.000000,0.000000
44,98,0,97.000000,0.000000,0.000000,0,0.000000,0.000000
45,99,0,98.000000,0.000000,0.000000,0,0.000000,0.000000
46,100,0,99.000000,0.000000,0.000000,0,0.000000,0.000000
47,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
48,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
49,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
50,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
51,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
52,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
53,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
54,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
55,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
56,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
57,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
58,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
59,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
60,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
61,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
62,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
63,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
64,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
65,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
66,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
67,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
68,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
69,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
70,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
71,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
72,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
73,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
74,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
75,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
76,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
77,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
78,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
79,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
80,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
81,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
82,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
83,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
84,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
85,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
86,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
87,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
88,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
89,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
90,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
91,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
92,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
93,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
94,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
95,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
96,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
97,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
98,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
99,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
100,100,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
101,110,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
102,121,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
103,133,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
104,146,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
105,160,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
106,175,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
107,191,0,100.000000,0.000000,0.000000,0,0.000000,0.000000
108,200,8,100.000000,0.000000,0.000000,0,0.000000,0.000000
109,140,8,100.000000,0.000000,0.000000,0,0.000000,0.000000
110,83,8,100.000000,0.000000,0.000000,0,0.000000,0.000000
111,46,8,83.000000,0.000000,0.000000,0,0.000000,0.000000
112,49,8,46.000000,0.000000,0.000000,0,0.000000,0.000000
113,52,8,49.000000,0.000000,0.000000,0,0.000000,0.000000
114,55,8,52.000000,0.000000,0.000000,0,0.000000,0.000000
115,58,8,55.000000,0.000000,0.000000,0,0.000000,0.000000
116,61,8,58.000000,0.000000,0.000000,0,0.000000,0.000000
117,64,8,61.000000,0.000000,0.000000,0,0.000000,0.000000
118,67,8,64.000000,0.000000,0.000000,0,0.000000,0.000000
119,70,8,67.000000,0.000000,0.000000,0,0.000000,0.000000
120,73,8,70.000000,0.000000,0.000000,0,0.000000,0.000000
121,76,8,73.000000,0.000000,0.000000,0,0.000000,0.000000
122,79,8,76.000000,0.000000,0.000000,0,0.000000,0.000000
123,82,8,79.000000,0.000000,0.000000,0,0.000000,0.000000
124,85,8,82.000000,0.000000,0.000000,0,0.000000,0.000000
125,88,8,85.000000,0.000000,0.000000,0,0.000000,0.000000
126,91,8,88.000000,0.000000,0.000000,0,0.000000,0.000000
127,94,8,91.000000,0.000000,0.000000,0,0.000000,0.000000
128,97,8,94.000000,0.000000,0.000000,0,0.000000,0.000000
129,100,8,97.000000,0.000000,0.000000,0,0.000000,0.000000
130,103,8,100.000000,0.000000,0.000000,0,0.000000,0.000000
131,109,8,100.000000,0.000000,0.000000,0,0.000000,0.000000
132,118,8,100.000000,0.000000,0.000000,0,0.000000,0.000000
133,130,8,100.000000,0.000000,0.000000,0,0.000000,0.000000
134,145,8,100.000000,0.000000,0.000000,0,0.000000,0.000000
135,163,8,100.000000,0.000000,0.000000,0,0.000000,0.000000
136,184,8,100.000000,0.000000,0.000000,0,0.000000,0.000000
137,200,16,100.000000,0.000000,0.000000,0,0.000000,0.000000
138,191,16,100.000000,0.000000,0.000000,0,0.000000,0.000000
139,185,16,100.000000,0.000000,0.000000,0,0.000000,0.000000
140,182,16,100.000000,0.000000,0.000000,0,0.000000,0.000000
141,182,16,100.000000,0.000000,0.000000,0,0.000000,0.000000
142,185,16,100.000000,0.000000,0.000000,0,0.000000,0.000000
143,191,16,100.000000,0.000000,0.000000,0,0.000000,0.000000
144,200,16,100.000000,0.000000,0.000000,0,0.000000,0.000000
145,200,28,100.000000,0.000000,0.000000,0,0.000000,0.000000
146,141,28,100.000000,0.000000,0.000000,0,0.000000,0.000000
147,85,28,100.000000,0.000000,0.000000,0,0.000000,0.000000
148,47,28,85.000000,0.000000,0.000000,0,0.000000,0.000000
149,50,28,47.000000,0.000000,0.000000,0,0.000000,0.000000
150,53,28,50.000000,0.000000,0.000000,0,0.000000,0.000000
151,56,28,52.999996,0.000000,0.000000,0,0.000000,0.000000
152,59,28,56.000000,0.000000,0.000000,0,0.000000,0.000000
153,62,28,58.999996,0.000000,0.000000,0,0.000000,0.000000
154,65,28,62.000000,0.000000,0.000000,0,0.000000,0.000000
155,68,28,65.000000,0.000000,0.000000,0,0.000000,0.000000
156,71,28,68.000000,0.000000,0.000000,0,0.000000,0.000000
157,74,28,71.000000,0.000000,0.000000,0,0.000000,0.000000
158,77,28,74.000000,0.000000,0.000000,0,0.000000,0.000000
159,80,28,77.000000,0.000000,0.000000,0,0.000000,0.000000
160,83,28,80.000000,0.000000,0.000000,0,0.000000,0.000000
161,86,28,83.000000,0.000000,0.000000,0,0.000000,0.000000
162,89,28,86.000000,0.000000,0.000000,0,0.000000,0.000000
163,92,28,89.000000,0.000000,0.000000,0,0.000000,0.000000
164,95,28,92.000000,0.000000,0.000000,0,0.000000,0.000000
165,98,28,95.000000,0.000000,0.000000,0,0.000000,0.000000
166,101,28,98.000000,0.000000,0.000000,0,0.000000,0.000000
167,105,28,100.000000,0.000000,0.000000,0,0.000000,0.000000
168,112,28,100.000000,0.000000,0.000000,0,0.000000,0.000000
169,122,28,100.000000,0.000000,0.000000,0,0.000000,0.000000
170,135,28,100.000000,0.000000,0.000000,0,0.000000,0.000000
171,151,28,100.000000,0.000000,0.000000,0,0.000000,0.000000
172,170,28,100.000000,0.000000,0.000000,0,0.000000,0.000000
173,192,28,100.000000,0.000000,0.000000,0,0.000000,0.000000
174,200,45,100.000000,1.000000,0.000000,1,0.000000,0.000000
175,133,45,100.000000,0.000000,0.000000,1,0.000000,0.000000
176,69,45,100.000000,0.000000,0.000000,1,0.000000,0.000000
177,39,45,69.000000,0.000000,0.000000,1,0.000000,0.000000
178,42,45,39.000000,0.000000,0.000000,1,0.000000,0.000000
179,45,45,42.000000,0.000000,0.000000,1,0.000000,0.000000
180,48,45,45.000000,0.000000,0.000000,1,0.000000,0.000000
181,51,45,48.000000,0.000000,0.000000,1,0.000000,0.000000
182,54,45,51.000000,0.000000,0.000000,1,0.000000,0.000000
183,57,45,54.000004,0.000000,0.000000,1,0.000000,0.000000
184,60,45,57.000000,0.000000,0.000000,1,0.000000,0.000000
185,63,45,60.000004,0.000000,0.000000,1,0.000000,0.000000
186,66,45,63.000000,0.000000,0.000000,1,0.000000,0.000000
187,69,45,66.000000,0.000000,0.000000,1,0.000000,0.000000
188,72,45,69.000000,0.000000,0.000000,1,0.000000,0.000000
189,75,45,72.000000,0.000000,0.000000,1,0.000000,0.000000
190,78,45,75.000000,0.000000,0.000000,1,0.000000,0.000000
191,81,45,78.000000,0.000000,0.000000,1,0.000000,0.000000
192,84,45,81.000000,0.000000,0.000000,1,0.000000,0.000000
193,87,45,84.000000,0.000000,0.000000,1,0.000000,0.000000
194,90,45,87.000000,0.000000,0.000000,1,0.000000,0.000000
195,93,45,90.000000,0.000000,0.000000,1,0.000000,0.000000
196,96,45,93.000000,0.000000,0.000000,1,0.000000,0.000000
197,99,45,96.000000,0.000000,0.000000,1,0.000000,0.000000
198,102,45,99.000000,0.000000,0.000000,1,0.000000,0.000000
199,107,45,100.000000,0.000000,0.000000,1,0.000000,0.000000
200,115,45,100.000000,0.000000,0.000000,1,0.000000,0.000000
201,126,45,100.000000,0.000000,0.000000,1,0.000000,0.000000
202,140,45,100.000000,0.000000,0.000000,1,0.000000,0.000000
203,157,45,100.000000,0.000000,0.000000,1,0.000000,0.000000
204,177,45,100.000000,0.000000,0.000000,1,0.000000,0.000000
205,200,45,100.000000,0.000000,0.000000,1,0.000000,0.000000
206,200,71,100.000000,1.000000,0.000000,2,31998.000000,-1.000000
207,133,71,100.000000,0.000000,0.000000,2,31998.000000,-1.000000
208,69,71,100.000000,0.000000,0.000000,2,31998.000000,-1.000000
209,39,71,69.000000,0.000000,0.000000,2,31998.000000,-1.000000
210,42,71,39.000000,0.000000,0.000000,2,31998.000000,-1.000000
211,45,71,42.000000,0.000000,0.000000,2,31998.000000,-1.000000
212,48,71,45.000000,0.000000,0.000000,2,31998.000000,-1.000000
213,51,71,48.000000,0.000000,0.000000,2,31998.000000,-1.000000
214,54,71,51.000000,0.000000,0.000000,2,31998.000000,-1.000000
215,57,71,54.000004,0.000000,0.000000,2,31998.000000,-1.000000
216,60,71,57.000000,0.000000,0.000000,2,31998.000000,-1.000000
217,63,71,60.000004,0.000000,0.000000,2,31998.000000,-1.000000
218,66,71,63.000000,0.000000,0.000000,2,31998.000000,-1.000000
219,69,71,66.000000,0.000000,0.000000,2,31998.000000,-1.000000
220,72,71,69.000000,0.000000,0.000000,2,31998.000000,-1.000000
221,75,71,72.000000,0.000000,0.000000,2,31998.000000,-1.000000
222,78,71,75.000000,0.000000,0.000000,2,31998.000000,-1.000000
