Time,Send Rate
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,10
101,11
102,12
103,13
104,14
105,15
106,16
107,17
108,18
109,19
110,20
111,21
112,22
113,23
114,24
115,25
116,26
117,27
118,28
119,29
120,30
121,31
122,32
123,33
124,34
125,35
126,36
127,37
128,38
129,39
130,40
131,41
132,42
133,43
134,44
135,45
136,46
137,11
138,12
139,13
140,14
141,15
142,16
143,17
144,18
145,19
146,20
147,21
148,22
149,23
150,24
151,25
152,26
153,27
154,28
155,29
156,30
157,31
158,32
159,33
160,34
161,35
162,36
163,37
164,38
165,39
166,40
167,41
168,42
169,43
170,44
171,45
172,46
173,47
174,11
175,12
176,13
177,14
178,15
179,16
180,17
181,18
182,19
183,20
184,21
185,22
186,23
187,24
188,25
189,26
190,27
191,28
192,29
193,30
194,31
195,32
196,33
197,34
198,35
199,36
200,37
201,38
202,39
203,40
204,41
205,42
206,11
207,12
208,13
209,14
210,15
211,16
212,17
213,18
214,19
215,20
216,21
217,22
218,23
219,24
220,25
221,26
222,27
223,28
224,29
225,30
226,31
227,32
228,33
229,34
230,35
231,36
232,37
233,38
234,39
235,40
236,41
237,42
238,11
239,12
240,13
241,14
242,15
243,16
244,17
245,18
246,19
247,20
248,21
249,22
250,23
251,24
252,25
253,26
254,27
255,28
256,29
257,30
258,31
259,32
260,33
261,34
262,35
263,36
264,37
265,38
266,39
267,40
268,41
269,42
270,11
271,12
272,13
273,14
274,15
275,16
276,17
277,18
278,19
279,20
280,21
281,22
282,23
283,24
284,25
285,26
286,27
287,28
288,29
289,30
290,31
291,32
292,33
293,34
294,35
295,36
296,37
297,38
298,39
299,40
300,41
